64 3
0.          0.          0.        
 0.          0.         -1.        
 0.         -1.          0.        
 0.         -0.70710678 -0.70710678
-1.          0.          0.        
-0.70710678  0.         -0.70710678
-0.70710678 -0.70710678  0.        
-0.57735027 -0.57735027 -0.57735027
0.          0.          1.        
 0.          0.          0.        
 0.         -0.70710678  0.70710678
 0.         -1.          0.        
-0.70710678  0.          0.70710678
-1.          0.          0.        
-0.57735027 -0.57735027  0.57735027
-0.70710678 -0.70710678  0.        
0.          1.          0.        
 0.          0.70710678 -0.70710678
 0.          0.          0.        
 0.          0.         -1.        
-0.70710678  0.70710678  0.        
-0.57735027  0.57735027 -0.57735027
-1.          0.          0.        
-0.70710678  0.         -0.70710678
0.          0.70710678  0.70710678
 0.          1.          0.        
 0.          0.          1.        
 0.          0.          0.        
-0.57735027  0.57735027  0.57735027
-0.70710678  0.70710678  0.        
-0.70710678  0.          0.70710678
-1.          0.          0.        
1.          0.          0.        
 0.70710678  0.         -0.70710678
 0.70710678 -0.70710678  0.        
 0.57735027 -0.57735027 -0.57735027
 0.          0.          0.        
 0.          0.         -1.        
 0.         -1.          0.        
 0.         -0.70710678 -0.70710678
0.70710678  0.          0.70710678
 1.          0.          0.        
 0.57735027 -0.57735027  0.57735027
 0.70710678 -0.70710678  0.        
 0.          0.          1.        
 0.          0.          0.        
 0.         -0.70710678  0.70710678
 0.         -1.          0.        
0.70710678  0.70710678  0.        
 0.57735027  0.57735027 -0.57735027
 1.          0.          0.        
 0.70710678  0.         -0.70710678
 0.          1.          0.        
 0.          0.70710678 -0.70710678
 0.          0.          0.        
 0.          0.         -1.        
0.57735027  0.57735027  0.57735027
 0.70710678  0.70710678  0.        
 0.70710678  0.          0.70710678
 1.          0.          0.        
 0.          0.70710678  0.70710678
 0.          1.          0.        
 0.          0.          1.        
 0.          0.          0.        
