1000 3
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.704643514927971529e-18 -7.675721915127193817e-01 -4.704643514927971529e-18
1.185243372255772107e-15 -1.510798787565677204e+00 -1.185243372255772107e-15
2.989313615350526038e-14 -2.230421317013629778e+00 -2.989313615350526038e-14
2.938381997572031122e-13 -2.927151131321189759e+00 -2.938381997572031122e-13
1.723487885968217967e-12 -3.601670803763734163e+00 -1.723487885968217967e-12
7.292409713822431840e-12 -4.254635468853837033e+00 -7.292409713822431840e-12
2.462925082833407380e-11 -4.886674104188311496e+00 -2.462925082833407380e-11
7.053189515034292252e-11 -5.498390756842420402e+00 -7.053189515034292252e-11
1.780727419589927069e-10 -6.090365716371180405e+00 -1.780727419589927069e-10
4.070446083571982453e-10 -6.663156636412732148e+00 -4.070446083571982970e-10
8.585409843013599029e-10 -7.217299606825509528e+00 -8.585409843013599029e-10
1.694493692666740448e-09 -7.753310178229585681e+00 -1.694493692666740448e-09
3.163006778988732355e-09 -8.271684340762570642e+00 -3.163006778988731941e-09
5.630328950998437203e-09 -8.772899458802331907e+00 -5.630328950998437203e-09
9.620299309025609763e-09 -9.257415163352071374e+00 -9.620299309025608109e-09
1.586208358720160700e-08 -9.725674203728290834e+00 -1.586208358720160700e-08
2.534699172777455206e-08 -1.017810326013850108e+01 -2.534699172777455206e-08
3.939513333838341797e-08 -1.061511371868342657e+01 -3.939513333838341797e-08
5.973262637521528287e-08 -1.103710241026786676e+01 -5.973262637521529611e-08
8.858002713538161519e-08 -1.144445231485497771e+01 -8.858002713538161519e-08
1.287525971553516481e-07 -1.183753323245092837e+01 -1.287525971553516481e-07
1.837729656710548307e-07 -1.221670242216036506e+01 -1.837729656710548572e-07
2.579966856203194433e-07 -1.258230521060776752e+01 -2.579966856203194433e-07
3.567511174317999168e-07 -1.293467557097592113e+01 -3.567511174317999698e-07
4.864880086719410041e-07 -1.327413667387000196e+01 -4.864880086719408982e-07
6.549500695938592567e-07 -1.360100141117422545e+01 -6.549500695938592567e-07
8.713517752878809924e-07 -1.391557289402785891e+01 -8.713517752878809924e-07
1.146574554971035585e-06 -1.421814492600804947e+01 -1.146574554971035585e-06
1.493376458431807350e-06 -1.450900245256915255e+01 -1.493376458431807350e-06
1.926616319189965261e-06 -1.478842198775119243e+01 -1.926616319189965261e-06
2.463492363927574916e-06 -1.505667201913434994e+01 -2.463492363927574916e-06
3.123795148551715580e-06 -1.531401339198164635e+01 -3.123795148551716427e-06
3.930174633185472970e-06 -1.556069967347814753e+01 -3.930174633185472970e-06
4.908421141745767424e-06 -1.579697749794248196e+01 -4.908421141745767424e-06
6.087759886819991357e-06 -1.602308689385453988e+01 -6.087759886819991357e-06
7.501158677537379078e-06 -1.623926159351254839e+01 -7.501158677537379078e-06
9.185648367259084926e-06 -1.644572932610281413e+01 -9.185648367259084926e-06
1.118265553937260245e-05 -1.664271209493651682e+01 -1.118265553937260245e-05
1.353834687343917190e-05 -1.683042643957974605e+01 -1.353834687343917359e-05
1.630398458055165695e-05 -1.700908368357603706e+01 -1.630398458055165695e-05
1.953629224614188530e-05 -1.717889016843394501e+01 -1.953629224614188530e-05
2.329783037073649324e-05 -1.734004747452695128e+01 -2.329783037073649324e-05
2.765738085438801806e-05 -1.749275262952811616e+01 -2.765738085438802145e-05
3.269033962877468234e-05 -1.763719830497792174e+01 -3.269033962877468234e-05
3.847911660232653083e-05 -1.777357300156049646e+01 -3.847911660232653083e-05
